Epoch,OC,OC_err
-1000,11.20915861,8.689769519
-970,-26.04204623,7.519066079
-900,3.551967202,3.593056906
-875,-1.894983485,8.688698232
-875,-1.894983485,8.688698232
-872.5,4.658312625,9.823754167
-862.5,1.511243068,8.904861781
-807.5,11.18050854,11.45839163
-725,-27.5765136,5.656904446
-705,-4.714707077,7.558763149
-690,-3.157849411,7.828917231
-675,-26.02858204,6.169565251
-667.5,-13.35893732,4.025482335
-652.5,-11.4690112,6.062841951
-632.5,-37.73312912,6.803291167
-622.5,-33.36696626,1.150930805
-605,-34.25686968,9.991389843
-590,-34.7087032,2.580618789
-585,-33.31511652,11.73665602
-565,-27.88395832,3.487367319
-545,-32.31431583,9.757976268
-537.5,-46.00229893,10.54084807
-535,-34.28499882,7.120467968
-532.5,-49.52012714,5.082610932
-517.5,-59.12982744,9.010285126
-505,-53.93361168,1.542524351
-500,-53.14734622,1.633275889
-485,-51.82983468,5.071730557
-480,-47.67008816,11.13504343
-472.5,-71.58906295,3.950057835
-460,-66.84092898,9.989852762
-450,-52.99981372,7.895018234
-450,-52.99981372,7.895018234
-420,-55.11039918,10.99218059
-407.5,-84.78313936,8.210464596
-407.5,-84.78313936,8.210464596
-400,-62.03257994,0.325540949
-397.5,-79.22418305,3.570389356
-397.5,-79.22418305,3.570389356
-350,-76.70909997,3.144383462
-337.5,-89.33147447,6.351702284
-297.5,-84.67404593,6.650005408
-267.5,-64.13861374,8.480344649
-267.5,-86.1796452,8.480344649
-252.5,-91.22610682,11.66135137
-225,-99.12945609,10.1898829
-200,-103.7203361,3.22740884
-200,-103.7203361,3.22740884
-192.5,-109.1966699,5.243329736
-167.5,-106.9970906,1.884581484
-110,-87.48840347,7.812942235
-105,-103.0929872,6.094896321
-77.5,-80.23979479,7.275045544
-47.5,-79.07683432,12.60317883
-32.5,-33.99101162,1.136062829
-22.5,-91.22550009,10.05180665
-7.5,-86.50253574,1.639718516
15,-88.28399691,5.285229913
77.5,-59.13933235,0.707487667
137.5,-67.69350361,11.61772035
152.5,-53.28181871,7.757101069
175,-53.22225908,10.15851757
177.5,-62.30124742,8.575313318
222.5,-57.98377677,7.50397724
257.5,-44.7641337,8.944913814
260,-59.09855721,2.736048318
277.5,-49.17564495,10.56154941
282.5,-49.0483852,3.184701905
302.5,-49.7433469,10.59128081
320,-51.13385718,10.67882136
332.5,-52.44408318,9.538302263
340,-48.52352012,4.437857659
382.5,-62.13332723,0.969224261
397.5,-49.60925401,4.737352693
445,-66.44618277,0.371602093
447.5,-62.95942977,0.008894636
465,-64.73638965,8.206493288
472.5,-64.28902871,1.976103887
537.5,-14.52048296,8.179553168
537.5,-65.90829948,8.179553168
602.5,-70.50683907,9.386244921
612.5,-68.38803527,7.098441711
662.5,-29.59678982,5.039789261
685,-71.52914351,13.27483232
692.5,-102.6990221,0.956534099
740,-69.22835284,1.688037691
757.5,-60.58640315,10.70425383
760,-64.76226475,5.631125414
772.5,-59.05340072,3.002158308
807.5,-56.38176387,4.001719601
810,-54.24771156,7.420587639
812.5,-53.05766948,10.15238972
827.5,-86.3075214,13.03450613
835,-55.03739664,1.163468973
842.5,-48.26510242,6.315385655
842.5,-48.26510242,6.315385655
897.5,-30.66241534,4.897389478
942.5,-19.30288606,1.399915814
995,-4.394423511,11.64160828
997.5,0.216961498,5.907283615
